AP,HE,accuracy,aimTime,caliber,corrShotMultiplier,dispersionAngle,dispersionMax,dispersionMin,inst_num,isCluster,isFireAndForget,isHEAT,isKE,isMissile,isNapalm,isRadar,isSEAD,isSmoke,loadType,maxrangeDef,maxrangeGround,maxrangeHeli,maxrangePlane,maxrangeShip,minrangeDef,minrangeGround,minrangeHeli,minrangePlane,minrangeShip,missileAcceleration,missileCorrInterval,missileSpeedMax,muzzleVelocity,name,noiseMalus,radiusDamage,radiusNapalm,radiusSmoke,radiusSuppress,salvoLength,salvoReload,salvoVisAmmo,shotReload,simultShots,stabilizer,supplyPerShot,suppress,typeArme
,1,0.45,0.6,5.56mm,,0.57,,,82801,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,K2C1,1.556,2.5,,,10,6,4.5,60,2.2,1,0.3,6,40,Assault Rifles
,5,,8,120mm,,0.06,140,140,83458,,,,,,,,,,,,7700,,,7700,,770,,,770,,,,826.92,HM-16,1.8,60,,,180,3,12,3,4,1,,105,265,Mortar
,4,0.5,1,Infrared,,0.57,,,121674,,true,,,true,,,,,,,,2450,1925,,,,,,,2000,10,9000,2000,FN-6,2,140,,,280,4,6,4,2,1,0.5,200,160,SAM
12,1,0.5,1,105mm,,0.29,,,80735,,,,true,,,,,,,,2100,,,2100,,,,,,,,,3461.54,L7A3,2.05,2.5,,,262.5,1,6,1,1,1,0.4,20,121,Main Gun
23,1,0.65,1,120mm,,0.29,,,81198,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,M256,2.2,2.5,,,300,1,6.6,1,1,1,0.6,25,138,Main Gun
11,1,0.6,4,MMW,,1.15,,,123302,true,true,true,,true,,,,,,,2275,,,2275,,175,,,175,500,1.6,750,500,AT-1K Raybolt,2,5,,,400,2,20,2,6,1,0.1,200,150,ATGM
17,1,0.7,,90mm HEAT,,0.86,,,123028,,,true,,,,,,,,,700,,,700,,,,,,,,,769.23,RGW 90,2.66,2.5,,,207.5,1,3,1,1,1,0.05,20,336,LAW
25,1,0.6,4,MMW,,1.15,,,123257,,true,true,,true,,,,,,,2275,,,2275,,175,,,175,500,1.6,750,500,AT-1K Raybolt,2,5,,,400,1,10,1,1,1,0.1,200,150,ATGM
16,1,0.55,1,115mm,,0.29,,,123145,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A20,2.15,2.5,,,287.5,1,7.5,1,1,1,0.4,25,133,Main Gun
,48,,45,Inertial-guidance,1,0.06,140,70,121521,,,,,,,,,,,,98000,,,98000,,8400,,,8400,,,,1500,9M723 [45s],4.8,552,,,1656,2,480,2,10,1,,2112,1840,TBM
,1,0.3,0.4,30mm,,1.15,,,87242,,,,,,,,,,,,2100,1575,2275,2100,,,,,,,,,5769.23,Twin ADEN 30,1.6,11.5,,,37.5,10,1,50,0.2,1,0.3,50,60,Autocannon
,4,0.4,1,Infrared,,0.57,,,79642,,true,,,true,,,,,,,,2450,1925,,,,,,,2000,10,9000,2000,9K310 Igla-1,2,140,,,280,1,6,1,6,1,0.4,50,160,SAM
,1,0.55,0.2,30mm Radar,,0.11,,,80255,,,,,,,true,,,,,,2800,2625,,,,,,,,,,3461.54,Twin KCB,5.2,11.5,,,72.5,69,15,600,0.4,1,0.25,600,120,Anti-Aircraft Autocannon
10,1,,35,Laser-guided,0.05,0.06,140,140,121502,true,,true,,,,,,,,,42000,,,42000,,4200,,,4200,,,,1057.69,3O14 [35s],2.35,250,,,406,1,300,1,15,1,,390,467,Howitzer
,7,0.25,1.4,152mm,,0.57,,,124230,,,,,,,,,,,,2100,,,2100,,175,,,175,,,,1057.69,ML-20SM,2.1,144.23,,,288.75,1,10,1,1,1,0.25,50,330,Main Gun
22,1,0.65,1,125mm,,0.29,,,120982,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A46M5 [Auto],2.25,2.5,,,312.5,24,7.5,24,7.5,1,0.4,600,144,Main Gun
,6,0.4,0.2,SemAct radar,,0.57,,,122144,,,,,true,,true,,,,,,2275,5600,,,,420,700,,1000,10,15000,1000,AIM-7E2 Sparrow,2,210,,,420,1,0.2,1,0.2,1,0.4,400,240,AAM
,0.5,0.2,2,7.62mm,,0.57,,,122948,,,,,,,,,,,,875,595,,875,,87,,,87,,,,3461.54,PKP Pecheneg,2.25,3,,,50,10,5,100,1,1,0.05,10,55,LMG
,4,0.6,1.4,125mm,,0.29,,,121571,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,ZPT-98 [Auto],2.25,47,,,156.5,42,7.5,42,7.5,1,0.55,1050,144,Main Gun
,1,0.3,1,5.56mm,,0.57,,,121774,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,G36A2,1.556,2.5,,,10,4,6,40,3,1,0.2,4,40,Assault Rifles
,5,0.65,0.2,Infrared,,0.57,,,120613,,true,,,true,,,,,,,,2275,4200,,,,420,700,,2000,10,12500,2000,PL-10,2,175,,,350,1,2,1,2,1,0.65,600,200,AAM
,1,0.23,1.4,7.62mm,,0.57,,,78914,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,QBZ-95,1.58,3,,,10,3,8,30,3,1,0.1,3,40,Assault Rifles
,2,0.45,1,57mm,,0.11,,,121539,,,,,,,,,,,,1925,2800,1750,1925,,,,,,,,,3461.54,2A90,6.28,21.5,,,93,74,10,148,1,1,0.3,888,228,Anti-Aircraft Autocannon
,0.75,0.4,1,Frag,,0.57,,,83530,,,,,,true,,,,,,175,,,175,,,,,,,,,125,Molotov,1.1,25,50,,25,1,3,1,1,1,0.2,20,25,Grenade
,8,0.4,0.2,Radar,,0.29,,,87612,,true,,,true,,true,,,,,,,8400,,,,,700,,1500,10,20000,1500,AIM-54D Phoenix,2,280,,,560,2,4,2,1,1,0.4,2000,320,AAM
,1,0.3,0.4,20mm,,1.15,,,87223,,,,,,,,,,,,2100,1575,2450,2100,,,,,,,,,5769.23,M61A1 Vulcan,1.4,30,,,100,10,1,188,0.2,1,0.3,47,92,Autocannon
,1,0.45,0.2,20mm Radar,,0.11,,,79941,,,,,,,true,,,,,,2625,2450,,,,,,,,,,3461.54,M168 Vulcan,5.6,15,,,65,165,15,1100,0.4,1,0.05,1100,92,Gatling Gun
,4,0.65,1.4,125mm,,0.29,,,123915,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A46M [Auto],2.25,47,,,156.5,30,6.6,30,6.6,1,0.55,750,144,Main Gun
16,1,0.7,,SALH,,1.72,,,121261,true,,true,,true,,,,,,,2975,,,2975,,175,,,175,1250,1.2,2500,1250,Spike NLOS,2,5,,,400,1,1,1,1,1,0.7,268,150,ATGM
,4,0.4,1,Napalm,,1.15,,,83383,,,,,,true,,,,,,525,,,525,,52,,,,,,,1057.69,RPO-M Shmel,1.81,31,75,,155,1,3,1,1,1,0.05,25,150,Rocket Launcher
1,1,0.95,2,12.7mm,,0.57,,,78837,,,,true,,,,,,,,1400,,,1400,,87,,,87,,,,3461.54,Barrett M107,2.25,2.5,,,16,1,4,1,4,1,0.2,12,80,Sniper Rifle
12,1,0.25,1,73mm HEAT,,0.57,,,82456,,,true,,,,,,,,,1400,,,1400,,,,,,,,,3461.54,SPG-9,1.73,2.5,,,182.5,1,7.5,1,1,1,0.05,15,84,Recoilless Rifle
28,1,0.5,,TV-guided,,0.57,,,88431,,true,true,,true,,,,,,,3500,,,3500,,700,,,700,2000,10,9000,2000,KD-88,2,5,,,400,2,2,2,0.4,1,0.5,1300,150,AGM
12,1,0.3,,80mm HEAT,,0.86,,,122227,,,true,,,,,,,,,525,,,525,,,,,,,,,769.23,PF-89,2.6,2.5,,,200,1,3,1,1,1,0.05,20,280,LAW
21,1,0.45,1,SACLOS,,1.15,,,122166,,,true,,true,,,,,,,1400,,,1400,,175,,,175,500,1.3,750,500,Saeghe 2,2,5,,,400,1,5,1,1,1,0.05,63,150,ATGM
18,1,0.45,2,SACLOS,,0.86,,,83922,,,true,,true,,,,,,,2625,,,2625,,175,,,175,1000,1.7,1000,1000,9M112M2 Kobra,2,5,,,400,1,6,1,1,1,0.3,113,150,ATGM
,30,,45,Inertial-guidance,1,0.06,700,175,123379,,,,,,,,,,,,98000,,,98000,,8400,,,8400,,,,1057.69,JUCHE [45s],5,360,,,1080,4,300,4,10,1,,2756,1200,TBM
,5,0.5,0.2,Infrared,,0.57,,,121953,,true,,,true,,,,,,,,2800,3325,,,,420,700,,2000,10,9000,2000,PL-8B,2,175,,,350,1,2,1,2,1,0.5,87,200,AAM
,2,0.15,0.2,70mm,,0.57,,,122877,,,,,,,,,,,,2100,,,2100,,700,,,700,,,,2307.69,FFAR,1.466667,26.5,,,87.5,19,5,19,0.2,2,0.05,120,161,Rocket Pod
,2,0.15,1,30mm Frag,,0.86,,,78160,,,,,,,,,,,,1225,,,1225,,52,,,52,,,,769.23,AG-17,2.25,35,,,70,10,7,30,0.8,1,0.1,80,70,Grenade Launcher
26,1,0.6,4,Infrared,,0.74,,,124117,,true,true,,true,,,,,,,2450,,,2450,,175,,,175,1000,1.6,1200,1000,Nag,2,5,,,400,6,25,6,4,1,0.5,1116,150,ATGM
,1,0.3,1,25mm,,0.57,,,122755,,,,,,,,,,,,1750,1575,,1750,,,,,,,,,3461.54,M811,1.5,9.5,,,31.5,2,1,15,0.6,1,0.1,15,50,Autocannon
,10,,35,203mm,,0.06,140,140,77533,,,,,,,,,,,,42000,,,42000,,4200,,,4200,,,,1057.69,2A44 [35s],2.35,203,,,406,7,30,7,15,1,,793,467,Howitzer
,9,0.65,0.2,Radar,,0.57,,,123573,,true,,,true,,true,,,,,,3150,3500,,,,665,,,1250,10,15000,1250,KM-SAM,2,315,,,630,8,25,8,2,1,0.65,1368,360,SAM
,0.5,0.2,1,7.62mm,,0.57,,,122473,,,,,,,,,,,,875,525,,875,,,,,,,,,3461.54,MGA-3,1.762,3,,,10,20,2,200,0.7,1,0.1,20,55,MMG
22,1,0.5,2,SALH,,0.63,,,123981,,,true,,true,,,,,,,2625,,,2625,,175,,,175,1000,1.2,1400,1000,SAMHO,2,5,,,400,1,6,1,1,1,0.45,191,150,ATGM
8,1,0.4,1,90mm,,0.29,,,81301,,,,true,,,,,,,,1925,,,1925,,,,,,,,,3461.54,M3,1.9,2.5,,,225,1,7.5,1,1,1,0.05,15,104,Main Gun
11,1,0.6,4,MMW,,1.15,,,121124,true,true,true,,true,,,,,,,2450,,,2450,,175,,,175,500,1.6,750,500,FGM-148 Javelin,2,5,,,400,1,10,1,1,1,0.1,200,150,ATGM
,,,4,120mm,,0.06,175,175,77551,,,,,,,,,true,,,8400,,,8400,,840,,,840,,,,826.92,2A60,1.8,60,,150,180,6,4,6,4,1,,105,,Mortar
,1,0.45,0.6,5.56mm,,0.57,,,124086,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,K2C1,1,2.5,,,10,6,4.5,60,2.2,1,0.3,6,40,Assault Rifles
21,1,0.65,4,SALH,,0.63,,,121764,,true,true,,true,,,,,,,2450,,,2450,,175,,,175,500,1.1,750,500,MELLS,2.25,5.12,,,400,2,10,2,4,1,0.05,954,150,ATGM
16,1,0.35,,SACLOS,,1.72,,,86321,,,true,,true,,,,,,,2275,,,2275,,175,,,175,500,2.1,700,375,Bulsae-1M,2,5,,,400,1,1,1,1,1,0.25,61,150,ATGM
,1,0.6,0.6,5.56mm,,0.57,,,124088,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,K2C1,1,2.5,,,10,6,4.5,60,2.2,1,0.6,6,40,Assault Rifles
7,1,0.1,,476g,,0.57,,,121881,true,,true,,,,,,,,,3500,,,3500,,,,,,,,,576.92,MW-1,6,225,,,250,12,5,2100,0.2,3,0.1,4000,300,AT Cluster Bomb
,3,,4,82mm,,0.06,105,105,81811,,,,,,,,,,,,4900,,,4900,,490,,,490,,,,692.31,2B9 Vasilek,1.55,41,,,123,4,6,4,0.6,1,,80,189,Mortar
,1,0.95,2,7.62mm,,0.57,,,123992,,,,,,,,,,,,1050,700,,1050,,87,,,87,,,,3461.54,G28,2.25,3,,,10,1,3,1,3,1,0.2,6,55,Sniper Rifle
23,1,0.7,,110mm HEAT,,0.86,,,82534,,,true,,,,,,,,,700,,,700,,,,,,,,,769.23,PzF 3-T600,3.2,2.5,,,275,1,6,1,1,1,0.05,20,440,LAW
,2,0.3,0.2,70mm,,0.57,,,123754,,,,,,,,,,,,2100,,,2100,,700,,,700,,,,3461.54,CRV7 HEISAP,1.466667,26.5,,,87.5,19,5,19,0.2,2,0.2,180,161,Rocket Pod
11,1,0.6,,SACLOS,,1.72,,,122436,true,,true,,true,,,,,,,2625,,,2625,,175,,,175,500,1.7,1000,500,Toofan-3M,2,5,,,400,1,1,1,1,1,0.5,219,150,ATGM
,3,0.3,1,Infrared,,0.57,,,79655,,true,,,true,,,,,,,,2100,1680,,,,,,,1000,10,5000,1000,Strela-2M,2,105,,,210,1,6,1,6,1,0.3,32,120,SAM
13,1,0.4,1,90mm,,0.29,,,122402,,,true,,,,,,,,,1925,,,1925,,,,,,,,,3461.54,Engesa EC-90,1.9,2.5,,,225,1,6.6,1,1,1,0.25,15,104,Main Gun
,5,0.6,1,SACLOS,,0.57,,,123658,,,,,true,,,,,,,,2625,2100,,,,,,,2000,10,12500,2000,Starstreak HVM,2,175,,,350,1,5,1,1,1,0.05,98,200,SAM
,1,0.25,1,20mm,,0.57,,,81861,,,,,,,,,,,,1575,1575,,1575,,,,,,,,,3461.54,Rh 202,1.4,7.5,,,25,2,0.8,15,0.4,1,0.15,15,40,Autocannon
,2,0.15,1,40mm Frag,,0.86,,,121440,,,,,,,,,,,,1225,,,1225,,52,,,52,,,,769.23,AGS-40,2.25,25,,,90,10,7,30,0.8,1,0.1,80,90,Grenade Launcher
,2,0.15,1,35mm,,0.86,,,121544,,,,,,,,,,,,1225,,,1225,,52,,,52,,,,769.23,QLZ-04 [RWS],2.25,35,,,78.75,11,8,30,0.8,1,0.1,80,80,Grenade Launcher
,5,0.5,1,SACLOS,,0.57,,,84301,,,,,true,,true,,,,,,2800,2800,,,,,,,2000,10,9000,2000,Rapier Mk.2 FSC,2,175,,,350,8,20,8,1,1,0.5,580,200,SAM
,1,0.3,0.4,30mm,,1.15,,,88222,,,,,,,,,,,,,,2800,,,,,,,,,,5769.23,Type 23-II,1.6,1,,,23,10,2,50,0.2,1,0.3,50,60,Autocannon
,1,0.2,1,12.7mm,,0.57,,,120996,,,,,,,,,,,,1225,1225,,1225,,,,,,,,,3461.54,Yak-B,1.25,20,,,64,8,2,60,0.2,1,0.1,30,60,Gatling Gun
3,1,0.3,1,30mm,,0.57,,,121551,,,,true,,,,,,,,1750,,,1750,,,,,,,,,3461.54,Twin 2A42,1.6,11.5,,,37.5,4,1,15,0.4,1,0.2,30,60,Autocannon
,0.75,0.1,1,12.7mm,,0.57,,,79761,,,,,,,,,,,,1225,1225,,1225,,,,,,,,,3461.54,Quad M2,1.254,5,,,16,40,8,400,0.2,1,0.05,80,90,MMG
,2,0.3,0.2,68mm,,0.57,,,85959,,,,,,,,,,,,2100,,,2100,,700,,,700,,,,2307.69,SNEB,1.453333,25.5,,,85,12,5,12,0.2,2,0.2,183,157,Rocket Pod
,0.75,0.2,0.6,7.62mm,,0.57,,,85726,,,,,,,,,,,,1050,1050,,1050,,,,,,,,,3461.54,Twin M134 Minigun,1.15,12,,,40,30,4,400,0.24,1,0.1,10,55,MMG
,9,0.5,0.2,Radar,,0.57,,,122374,,,,,true,,true,,,,,,3500,3500,,,,525,,,1250,10,15000,1250,Shahin,2,315,,,630,3,25,3,1,1,0.5,526,360,SAM
,8,0.4,1,127mm,,0.29,,,85477,,,,,,,,,,,2975,5950,2975,2975,5950,,,,,,,,,2692.31,Otobreda 127/54 Compact,2.27,95,,,156.5,13,10,13,1,1,0.4,325,72,Naval Gun
2,1,0.25,1,23mm,,0.57,,,121170,,,,true,,,,,,,,1575,,,1575,,,,,,,,,3461.54,GSh-23L,1.46,8.5,,,29,4,0.6,50,0.2,1,0.15,30,46,Anti-Aircraft Autocannon
,4,0.7,1.4,120mm,,0.29,,,81211,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,M256,2.2,45,,,150,1,6.6,1,1,1,0.65,25,138,Main Gun
,2,0.15,1,40mm Frag,,0.86,,,121766,,,,,,,,,,,,1225,,,1225,,52,,,52,,,,769.23,GMG,2.25,40,,,90,11,8,32,0.8,1,0.1,80,90,Grenade Launcher
,,0.6,1,84mm,,0.86,,,121704,,,,,,,,,true,,,875,,,875,,,,,,,,,2692.31,Carl Gustav M3 [SMK],1.84,31.5,,75,105,1,6,1,1,1,0.05,20,,LAW
17,1,0.6,1,125mm,,0.29,,,84067,,,,true,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A46M1 [Auto],2.25,2.5,,,312.5,30,6.6,30,6.6,1,0.5,750,144,Main Gun
12,1,0.35,1,73mm HEAT,,0.57,,,78053,,,true,,,,,,,,,1575,,,1575,,,,,,,,,3461.54,2A28 Grom [Auto],1.73,2.5,,,182.5,20,6,20,6,1,0.1,300,84,Main Gun
,1,0.6,0.2,5.8mm,,0.57,,,121609,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,QTS-11 (Rifle),1.473,2.5,,,10,8,3,80,1.3,1,0.4,8,40,Assault Rifles
,7,,15,155mm,,0.06,210,210,80936,,,,,,,,,,,,24500,,,24500,,2450,,,2450,,,,1057.69,FH155 [15s],2.03,155,,,310,6,30,6,7,1,,290,357,Howitzer
,5,0.6,1,Infrared,,0.57,,,79714,,true,,,true,,,,,,,,2625,2100,,,,,,,2000,10,9000,2000,FIM-92J Stinger,2,175,,,350,1,6,1,6,1,0.6,67,200,SAM
,3,0.4,0.2,Infrared,,0.57,,,88524,,true,,,true,,,,,,,,2275,3500,,,,420,700,,2000,10,12500,2000,R-60M Molniya,2,140,,,210,1,1,1,1,1,0.4,400,120,AAM
,1,0.4,1,5.56mm,,0.57,,,77568,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,FAMAS F1,1.556,2.5,,,10,4,6,40,3,1,0.4,4,40,Assault Rifles
,1,0.45,0.6,5.56mm,,0.57,,,122611,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,HK416F,1.556,2.5,,,10,6,4.5,60,2.2,1,0.23,6,40,Assault Rifles
12,1,0.4,1,115mm,,0.29,,,79274,,,,true,,,,,,,,1925,,,1925,,,,,,,,,3461.54,2A20,2.15,2.5,,,287.5,1,9.5,1,1,1,0.2,25,133,Main Gun
,3,0.6,1.4,120mm,,0.29,,,121225,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,M256,2.2,45,,,150,1,6.6,1,1,1,0.55,25,138,Main Gun
,1,0.8,0.2,9mm,,0.57,,,122356,,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Tondar MPT-9,1.9,3.5,,,10,8,2,80,1,1,0.8,8,36,SMG
,3,0.7,1.4,120mm,,0.29,,,80219,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,KM256,2.2,45,,,150,1,6.6,1,1,1,0.65,25,138,Main Gun
,3,0.7,1.4,105mm,,0.29,,,84392,,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,ZPT-94 [Auto],2.05,39.5,,,131.5,38,4,38,4,1,0.65,760,121,Main Gun
30,1,0.5,,TV-guided,,0.57,,,123017,,true,true,,true,,,,,,,2975,,,2975,,700,,,700,2000,10,4000,2000,Kh-29T,2,5,,,400,2,2,2,0.4,1,0.5,1583,150,AGM
,1,0.23,1.4,7.62mm,,0.57,,,79845,,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,AK-47,1.762,3,,,10,3,8,30,3,1,0.1,3,40,Assault Rifles
