AP,HE,accuracy,aimTime,caliber,corrShotMultiplier,dispersionAngle,dispersionMax,dispersionMin,inst_num,isCluster,isFireAndForget,isKEorHEAT,isMissile,isNapalm,isRadar,isSEAD,isSmoke,loadType,maxrangeDef,maxrangeGround,maxrangeHeli,maxrangePlane,maxrangeShip,minrangeDef,minrangeGround,minrangeHeli,minrangePlane,minrangeShip,missileAcceleration,missileCorrInterval,missileSpeedMax,muzzleVelocity,name,noiseMalus,radiusDamage,radiusNapalm,radiusSmoke,radiusSuppress,salvoLength,salvoReload,salvoVisAmmo,shotReload,simultShots,stabilizer,supplyPerShot,suppress,typeArme
,7,,20,122mm,1,0.06,700,175,85851,,,,,,,,,,,17500,,,17500,,3500,,,3500,,,,1057.69,M-21OF,1.81,73,,,365,20,80,20,0.2,1,,480,285,MLRS
22,1,0.5,2,SACLOS,,0.97,,,81478,,,HEAT,true,,,,,,,2625,,,2625,,175,,,175,750,1.9,900,750,HOT 1,2,5,,,400,4,20,4,1,1,0.1,550,150,ATGM
,1,0.3,0.6,7.62mm,,0.57,,,87763,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,FAL,1.762,3,,,10,6,6,60,3,1,0.15,6,50,Battle Rifle
,0.75,0.15,1,12.7mm,,0.57,,,90336,,,,,,,,,,,1050,1050,,1050,,,,,,,,,3461.54,NSVT,1.254,5,,,16,10,2,100,0.8,1,0.05,20,90,MMG
,2,0.3,1.4,37mm,,0.29,,,85738,,,,,,,,,,,1575,,,1575,,,,,,,,,2692.31,M6,1.37,27.5,,,91.5,1,3,1,1,1,0.05,5,84,Main Gun
15,1,0.4,,SACLOS,,1.72,,,90371,,,HEAT,true,,,,,,,2450,,,2450,,175,,,175,500,1.6,1000,500,Malyutka-P,2,5,,,400,1,1,1,1,1,0.3,70,150,ATGM
,1,0.23,1.4,7.62mm,,0.57,,,83718,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,MPi-K,1.762,3,,,10,3,8,30,3,1,0.1,3,40,Assault Rifles
,0.5,0.4,2,7.62mm,,0.57,,,87611,,,,,,,,,,,875,595,,875,,,,,,,,,3461.54,PKM,2.25,3,,,50,10,5,100,1,1,0.25,10,55,SAW
15,1,0.6,1,100mm,,0.57,,,87966,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,D-10T,2,2.5,,,250,1,7.5,1,1,1,0.15,20,115,Main Gun
,0.5,0.3,2,7.5mm,,0.57,,,81346,,,,,,,,,,,875,595,,875,,,,,,,,,3461.54,AA-52,2.25,3,,,50,10,5,100,1,1,0.15,10,55,SAW
,0.5,0.4,2,5.45mm,,0.57,,,87553,,,,,,,,,,,770,595,,770,,,,,,,,,3461.54,LMG 944,2.25,2.5,,,50,3,1.4,30,0.8,1,0.2,3,40,SAW
20,1,0.55,1,125mm,,0.29,,,88080,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,2A46M,2.25,2.5,,,312.5,24,6.6,24,6.6,1,0.45,600,144,Main Gun
20,1,0.55,2,SACLOS,,0.74,,,85899,,,HEAT,true,,,,,,,2800,,,2800,,175,,,175,1000,1.5,1200,1000,Kokon,2,5,,,400,1,5,1,1,1,0.35,147,150,ATGM
,20,0.5,0.2,SALH,,0.57,,,91867,,true,,true,,,,,,,3500,,,3500,,1400,,,1400,1000,10,750,1000,GBU-27/B Paveway III,2,325,,,650,2,1,2,1,1,0.5,4000,600,Laser Guided HE Bomb
2,1,0.25,1,30mm,,0.57,,,81958,,,KE,,,,,,,,1575,,,1575,,,,,,,,,3461.54,2A42,1.6,11.5,,,37.5,2,1,15,0.6,1,0.1,15,60,Autocannon
,4,0.6,1.4,125mm,,0.29,,,82892,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A46M,2.25,47,,,156.5,24,6.6,24,6.6,1,0.4,600,144,Main Gun
,1,0.6,0.2,5.56mm,,0.57,,,83330,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,C7,1.556,2.5,,,10,8,3,80,1.5,1,0.3,8,40,Assault Rifles
,,,15,122mm,1,0.06,700,175,83298,,,,,,,,true,,,35000,,,17500,,7000,,,3500,,,,1057.69,FIROS-30,1.81,73,,150,365,20,80,20,0.2,1,,200,,MLRS
,10,,20,220mm,1,0.06,280,140,88299,,,,,true,,,,,,3500,,,3500,,700,,,700,,,,1057.69,MO.1.01.04,2.47,132,150,,660,30,240,30,0.4,1,,1800,442,MLRS
,1,0.15,0.2,57mm,,0.57,,,90326,,,,,,,,,,,2100,,,2100,,700,,,700,,,,2307.69,S-5M,1.38,21.5,,,71.5,16,4,16,0.2,2,0.05,77,132,Rocket Pod
,1,0.45,0.6,5.56mm,,0.57,,,82583,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,C7,1.556,2.5,,,10,6,4.5,60,2.2,1,0.23,6,40,Assault Rifles
,1,0.45,0.6,5.45mm,,0.57,,,86076,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,AK-74,1.545,2.5,,,10,6,4.5,60,2.2,1,0.23,6,40,Assault Rifles
17,1,0.65,1,105mm,,0.29,,,88611,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,L7A3,2.05,2.5,,,262.5,4,12,4,4,1,0.55,80,121,Main Gun
13,1,0.45,1,105mm,,0.29,,,85466,,,KE,,,,,,,,2100,,,2100,,,,,,,,,3461.54,M68,2.05,2.5,,,262.5,1,7.5,1,1,1,0.05,20,121,Main Gun
,1,0.6,0.2,5.56mm,,0.57,,,84083,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,Howa 89F Shiki,1.556,2.5,,,10,8,3,80,1.5,1,0.4,8,40,Assault Rifles
,1,0.3,1,5.56mm,,0.57,,,82627,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,C7,1.556,2.5,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
11,1,0.4,1,88mm,,0.29,,,88568,,,KE,,,,,,,,1925,,,1925,,,,,,,,,3461.54,T62-85TC,1.85,2.5,,,212.5,1,7.5,1,1,1,0.15,15,98,Main Gun
,3,0.3,1,Infrared,,0.57,,,83116,,true,,true,,,,,,,,2100,1680,,,,,,,1000,10,5000,1000,Strela-2M,2,105,,,210,2,10,2,6,1,0.3,64,120,SAM
2,1,0.2,1,20mm,,0.57,,,87106,,,KE,,,,,,,,1575,,,1575,,,,,,,,,3461.54,GI-2,1.4,7.5,,,25,2,0.8,15,0.4,1,0.1,15,40,Autocannon
14,1,0.3,,72.5mm HEAT,,0.86,,,83798,,,HEAT,,,,,,,,525,,,525,,,,,,,,,769.23,Miniman,2.32,2.5,,,165,1,3,1,1,1,0.05,15,264,LAW
20,3,0.6,0.2,Radar,,0.29,,,93199,,true,HEAT,true,,,,,,,,,,4375,,,,,700,400,10,3000,400,Kh-31A,2,200,,,400,2,1,2,0.4,1,0.6,2000,,SSM
3,1,0.6,1,30mm,,0.57,,,90415,,,KE,,,,,,,,1575,,,1575,,,,,,,,,3461.54,2A42,1.6,11.5,,,37.5,2,1,15,0.6,1,0.5,15,60,Autocannon
,4,0.6,1.4,125mm,,0.29,,,88149,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,2A46M,2.25,47,,,156.5,28,6.6,28,6.6,1,0.5,700,144,Main Gun
,1,0.8,0.2,9mm PB,,0.57,,,83154,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,MP5SD,1,3.5,,,10,8,2,80,1,1,0.8,8,30,SMG
,1,0.23,1.4,7.62mm,,0.57,,,83719,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,MPi-K,1.762,3,,,10,3,8,30,3,1,0.1,3,40,Assault Rifles
16,1,0.7,1,105mm,,0.29,,,87846,,,KE,,,,,,,,2275,,,2275,,,,,,,,,3461.54,L7,2.05,2.5,,,262.5,1,7.5,1,1,1,0.4,20,121,Main Gun
,5,0.7,0.2,Radar,,0.57,,,91634,,true,,true,,true,,,,,,,7000,,,,,700,,1500,10,20000,1500,V4 R-Darter,2,175,,,350,1,2,1,2,1,0.7,1000,200,AAM
,11,0.3,0.2,240mm,,1.15,,,92929,,,,,,,,,,,2450,,,2450,,700,,,700,,,,2307.69,S-24B,2.6,90,,,300,4,4,4,0.4,1,0.3,350,552,Rocket Pod
,1,0.95,2,7.62mm,,0.57,,,84412,,,,,,,,,,,1050,595,,1050,,87,,,87,,,,3461.54,Dragunov SVD,2.25,3,,,10,1,4,1,4,1,0.2,6,55,Sniper Rifle
26,1,0.5,2,SACLOS,,1.15,,,86773,,,HEAT,true,,,,,,,2275,,,2275,,175,,,175,500,2,750,500,RBS 56,2,5,,,400,1,5,1,1,1,0.05,141,150,ATGM
,0.5,0.4,2,7.62mm,,0.57,,,84141,,,,,,,,,,,875,595,,875,,,,,,,,,3461.54,62L Shiki,2.25,3,,,50,10,5,100,1,1,0.25,10,55,SAW
,3,0.3,1.4,106mm,,0.57,,,81683,,,,,,,,,,,1750,,,1750,,,,,,,,,2692.31,M40 RR,2.06,40,,,132.5,1,8,1,1,1,0.05,20,122,Recoilless Rifle
,1,0.8,0.2,5.45mm,,0.57,,,84445,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,AKS-74U,1.545,2.5,,,10,8,3,80,1.3,1,0.8,8,40,Assault Rifles
16,1,0.45,2,MCLOS,,1.43,,,88643,,,HEAT,true,,,,,,,2450,,,2450,,175,,,175,500,3,400,500,HJ-73B,2,5,,,400,1,10,1,1,1,0.1,84,150,ATGM
,3,0.45,1.4,115mm,,0.29,,,88025,,,,,,,,,,,2100,,,2100,,,,,,,,,2692.31,2A20,2.15,43.5,,,144,1,10,1,1,1,0.15,25,133,Main Gun
,,,15,155mm,,0.06,210,210,81582,,,,,,,,true,,,23800,,,23800,,2380,,,2380,,,,1057.69,GCT F1,2.03,155,,175,310,6,15,6,7.5,1,,290,,Howitzer
20,1,0.45,2,SACLOS,,1.15,,,84466,,,HEAT,true,,,,,,,2625,,,2625,,175,,,175,500,2.3,750,500,Konkurs,2,5,,,400,1,5,1,1,1,0.2,113,150,ATGM
,0.5,0.2,1,7.62mm,,0.57,,,81730,,,,,,,,,,,875,525,,875,,,,,,,,,3461.54,M240,1.762,3,,,10,10,2,100,0.8,1,0.1,20,55,MMG
,,0.1,,340kg,,0.57,,,92351,,,,,true,,,,,,3500,,,3500,,,,,,,,,576.92,Mk 77,6,143.5,300,,236,8,5,8,0.2,1,0.1,3960,150,Napalm Bomb
8,1,0.4,1,90mm,,0.29,,,82839,,,KE,,,,,,,,1750,,,1750,,,,,,,,,3461.54,M41,1.9,2.5,,,225,1,7.5,1,1,1,0.05,15,104,Main Gun
,3,0.6,1.4,105mm,,0.29,,,86399,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,L7A3,2.05,39.5,,,131.5,1,6,1,1,1,0.35,20,121,Main Gun
,1,0.6,1,30mm,,0.57,,,89965,,,,,,,,,,,1575,1575,,1575,,,,,,,,,3461.54,M230,1.6,11.5,,,37.5,2,1.2,15,0.8,1,0.5,15,60,Autocannon
,5,0.6,0.2,Radar,,0.57,,,93213,,true,,true,,true,,,,,,,7700,,,,,700,,1500,10,20000,1500,R-77 Vympel,2,175,,,350,1,2,1,2,1,0.6,1000,200,AAM
,0.5,0.4,2,7.5mm,,0.57,,,83319,,,,,,,,,,,875,595,,875,,,,,,,,,3461.54,AA-52,2.25,3,,,50,10,5,100,1,1,0.25,10,55,SAW
,4,0.5,1.4,125mm,,0.29,,,88062,,,,,,,,,,,2100,,,2100,,,,,,,,,2692.31,2A46,2.25,47,,,156.5,24,6.6,24,6.6,1,0.35,600,144,Main Gun
,1,0.6,0.6,9mm PB,,0.57,,,84147,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Newnanbu M66,1.9,3.5,,,10,6,3,60,1.5,1,0.3,6,30,SMG
,1,0.3,1,7.62mm,,0.57,,,84166,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Rk 62,1.762,3,,,10,4,6,40,3,1,0.15,4,40,Assault Rifles
20,1,0.65,,Antiradar,,0.57,,,91700,,true,HEAT,true,,,true,,,,5250,,,5250,,875,,,875,2000,10,15000,2000,AGM-88 HARM,2,5,,,10,1,2.2,1,0.4,1,0.65,3250,150,Anti-Radar
12,1,0.45,1,105mm,,0.29,,,84754,,,KE,,,,,,,,1925,,,1925,,,,,,,,,3461.54,L7A3,2.05,2.5,,,262.5,1,6,1,1,1,0.35,20,121,Main Gun
,1,0.1,1,14.5mm,,0.57,,,82316,,,,,,,,,,,1400,1750,,1400,,,,,,,,,3461.54,ZPTU-4,1.29,5.5,,,18.5,24,8,160,0.2,1,0.05,80,110,MMG
,1,0.4,1,7.62mm,,0.57,,,84111,,,,,,,,,,,595,595,,595,,2,,,2,,,,3461.54,Howa 64 Shiki,1.762,3,,,10,4,8,40,4,1,0.1,4,50,Battle Rifle
,1,0.2,1,7.62mm,,0.57,,,86634,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,AK4,1.762,3,,,10,4,8,40,4,1,0.1,4,50,Battle Rifle
,4,0.6,,SACLOS,,0.57,,,89807,,,,true,,,,,,4200,,2975,2450,,3150,,,,,2000,10,15000,2000,9M311,2,140,,,280,8,12,8,0.4,1,0.6,248,160,Naval SAM
,4,0.35,1,Napalm,,1.15,,,86737,,,,,true,,,,,,525,,,525,,52,,,,,,,1057.69,AGI 3x40,3,31,50,,155,3,8,3,2,1,0.1,75,150,Rocket Launcher
,,0.1,,340kg,,0.57,,,91587,,,,,true,,,,,,3500,,,3500,,,,,,,,,576.92,NORTHICK II,6,143.5,300,,236,3,5,3,0.2,1,0.1,2425,150,Napalm Bomb
,1,0.45,0.6,5.45mm,,0.57,,,89109,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,LADA AK,1.545,2.5,,,10,6,4.5,60,2.2,1,0.23,6,40,Assault Rifles
14,1,0.25,1,120mm HEAT,,0.57,,,81286,,,HEAT,,,,,,,,1925,,,1925,,,,,,,,,3461.54,2A60 Nona,2.2,2.5,,,300,1,8,1,1,1,0.05,20,138,Main Gun
23,1,0.5,,112mm HEAT,,0.86,,,83242,,,HEAT,,,,,,,,700,,,700,,,,,,,,,769.23,APILAS,3.24,2.5,,,280,1,3,1,1,1,0.05,20,448,LAW
10,1,0.4,1,82mm HEAT,,0.57,,,86386,,,HEAT,,,,,,,,1225,,,1225,,,,,,,,,3461.54,BsT M-60A,1.82,2.5,,,205,2,8,2,1,1,0.2,20,95,Recoilless Rifle
,1,0.45,0.6,7.62mm,,0.57,,,86651,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,Rk 90 TP,1.762,3,,,10,6,4.5,60,2.2,1,0.3,6,40,Assault Rifles
17,1,0.4,,SACLOS,,1.72,,,90303,,,HEAT,true,,,,,,,2450,,,2450,,175,,,175,500,1.6,1000,500,Malyutka-P1,2,5,,,400,1,1,1,1,1,0.3,79,150,ATGM
,4,0.55,1.4,125mm,,0.29,,,88698,,,,,,,,,,,2275,,,2275,,,,,,,,,2692.31,PLA 125,2.25,47,,,156.5,21,8.5,21,8.5,1,0.45,700,144,Main Gun
,13,0.25,,400kg,,0.57,,,91715,,,,,,,,,,,3500,,,3500,,,,,,,,,576.92,SAMP T200,6,160,,,260,2,5,2,0.2,1,0.25,1500,600,HE Bomb
17,1,0.3,2,MCLOS,,1.43,,,87043,,,HEAT,true,,,,,,,2450,,,2450,,175,,,175,500,3,400,500,SS-11,2,5,,,400,2,10,2,1,1,0.1,119,150,ATGM
,1,,30,240mm,1,0.06,700,175,85792,,,,,true,,,,,,12250,,,12250,,2450,,,2450,,,,1057.69,MD24-F,2.6,144,150,,420,36,180,36,0.6,1,,1440,,MLRS
21,1,0.5,2,SALH,,0.63,,,82053,,,HEAT,true,,,,,,,2800,,,2800,,175,,,175,1000,1.2,1400,1000,Arkan,2,5,,,400,1,6,1,1,1,0.35,140,150,ATGM
,1,,30,130mm,1,0.06,420,175,88680,,,,,true,,,,,,7700,,,7700,,1540,,,1540,,,,1057.69,T63,1.87,78,150,,390,19,180,19,0.6,1,,760,,MLRS
12,1,0.35,1,73mm HEAT,,0.57,,,81861,,,HEAT,,,,,,,,1575,,,1575,,,,,,,,,3461.54,2A28 Grom,1.73,2.5,,,182.5,20,6.6,20,6.6,1,0.05,300,84,Main Gun
,,0.1,,340kg,,0.57,,,92775,,,,,true,,,,,,3500,,,3500,,,,,,,,,576.92,Mk 77,6,143.5,300,,236,5,5,5,0.2,1,0.1,3130,150,Napalm Bomb
,1,0.8,0.2,5.56mm,,0.57,,,85938,,,,,,,,,,,2,,,2,,,,,,,,,3461.54,Glilon,1.556,2.5,,,10,8,3,80,1.3,1,0.8,8,40,Assault Rifles
,1,0.45,0.6,5.56mm,,0.57,,,83841,,,,,,,,,,,525,525,,525,,2,,,2,,,,3461.54,AR 70/90,1.556,2.5,,,10,6,4.5,60,2.2,1,0.3,6,40,Assault Rifles
20,6,0.85,0.2,Radar,,0.29,,,93784,,true,HEAT,true,,,,,,,,,,6300,,,,,700,500,10,3000,500,P-270 Moskit,2,200,,,400,1,1,1,0.4,1,0.85,2750,,SSM
