HP,altitude,armors,autonomy,avail,cost,country,damageToStun,ecmModifier,fuelCapacity,inst_num,isAmphibious,isCV,isPrototype,isTransport,maxCards,maxSpeed,movementType,name,numWeapons,opticRangeAirborne_vsGround,opticRange_vsGround,opticRange_vsHeli,opticRange_vsPlane,opticRange_vsShip,opticStrengthSEAD_vsGround,opticStrength_vsAir,opticStrength_vsGround,opticStrength_vsShip,otanId,pactId,purple,roadSpeed,sailingSubType,sizeModifier,specs,stealth,tab,training,transporterOf,transports,turnData,upgradeRequireId,upgrades,verticalSpeed,weapon10_TAmmunition_ID,weapon10_ammoPool,weapon10_hasStab,weapon10_totalAmmo,weapon10_turret,weapon10_turretArc,weapon10_turretFacing,weapon10_turretSpeed,weapon10_turretType,weapon10_uiPosition,weapon1_TAmmunition_ID,weapon1_ammoPool,weapon1_hasStab,weapon1_totalAmmo,weapon1_turret,weapon1_turretArc,weapon1_turretFacing,weapon1_turretSpeed,weapon1_turretType,weapon1_uiPosition,weapon2_TAmmunition_ID,weapon2_ammoPool,weapon2_hasStab,weapon2_totalAmmo,weapon2_turret,weapon2_turretArc,weapon2_turretFacing,weapon2_turretSpeed,weapon2_turretType,weapon2_uiPosition,weapon3_TAmmunition_ID,weapon3_ammoPool,weapon3_hasStab,weapon3_totalAmmo,weapon3_turret,weapon3_turretArc,weapon3_turretFacing,weapon3_turretSpeed,weapon3_turretType,weapon3_uiPosition,weapon4_TAmmunition_ID,weapon4_ammoPool,weapon4_hasStab,weapon4_totalAmmo,weapon4_turret,weapon4_turretArc,weapon4_turretFacing,weapon4_turretSpeed,weapon4_turretType,weapon4_uiPosition,weapon5_TAmmunition_ID,weapon5_ammoPool,weapon5_hasStab,weapon5_totalAmmo,weapon5_turret,weapon5_turretArc,weapon5_turretFacing,weapon5_turretSpeed,weapon5_turretType,weapon5_uiPosition,weapon6_TAmmunition_ID,weapon6_ammoPool,weapon6_hasStab,weapon6_totalAmmo,weapon6_turret,weapon6_turretArc,weapon6_turretFacing,weapon6_turretSpeed,weapon6_turretType,weapon6_uiPosition,weapon7_TAmmunition_ID,weapon7_ammoPool,weapon7_hasStab,weapon7_totalAmmo,weapon7_turret,weapon7_turretArc,weapon7_turretFacing,weapon7_turretSpeed,weapon7_turretType,weapon7_uiPosition,weapon8_TAmmunition_ID,weapon8_ammoPool,weapon8_hasStab,weapon8_totalAmmo,weapon8_turret,weapon8_turretArc,weapon8_turretFacing,weapon8_turretSpeed,weapon8_turretType,weapon8_uiPosition,weapon9_TAmmunition_ID,weapon9_ammoPool,weapon9_hasStab,weapon9_totalAmmo,weapon9_turret,weapon9_turretArc,weapon9_turretFacing,weapon9_turretSpeed,weapon9_turretType,weapon9_uiPosition,year
10,,2|1|1|1,450,24|20|16|12|8,10,POL,300,,400,19590,true,,,true,3,60,tracked,TOPAS-2AP,2,,3500,4900,5600,14000,,20,60,60,,201,,110,,,ARM|MAR|MEC,1,VHC,,19623|19058|19836|19216|19576|19904|19905|19577,20290,229.18,19589,,,,,,,,,,,,,86325,0,true,72,0,360|45|-10,,150,turret,0,86326,0,true,72,0,360|45|-10,,150,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969
10,,1|1|1|1,750,0|12|8|0|0,15,YUG,300,,300,18789,true,,,,2,100,wheeled,BRDM-2 #reco1,2,,3500,4900,5600,14000,,40,120,120,1220,898,true,150,,-0.05,AIR|MAR|MEC|MOT|SUP,1.5,REC,,,20290,171.89,19478,,,,,,,,,,,,,81874,0,true,60,0,360|45|-10,,150,turret,0,81875,0,true,60,0,360|45|-10,,150,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968
10,,1|1|1|1,480,32|24|20|16|12,5,ROK,300,,360,19189,true,,,true,9,65,tracked,KM113A1,1,,3500,4900,5600,14000,,20,60,60,198,,,110,,,ARM|MEC|SUP,1,VHC,,19719|19720|19712|19721|19716|19708|19718|19723|19722,,229.18,,19173,,,,,,,,,,,,81464,0,true,200,0,360|45|-10,,150,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961
10,,9|5|2|2,450,0|16|12|0|0,45,DAN,300,,450,18936,,,,,2,45,tracked,CENTURION Mk5/2-DK,3,,3500,4900,5600,14000,,20,60,60,91,,,110,,0.05,ARM|MEC|SUP,1,TNK,,,,401.07,18964,,,,,,,,,,,,,83002,0,true,41,0,360|25|-10,,30,turret,0,83003,0,true,41,0,360|25|-10,,30,turret,0,81464,1,true,90,1,360|45|-10,,150,turret,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985
10,,13|6|2|2,600,0|10|7|0|0,70,CHI,300,,1600,20202,,,true,,1,60,tracked,ZTZ-88A,3,,3500,4900,5600,14000,,20,80,80,,980,,110,,,ARM|MEC|MOT,1,TNK,,,,286.48,20073,,,,,,,,,,,,,89302,0,true,30,0,360|25|-10,,40,turret,0,89303,0,true,30,0,360|25|-10,,40,turret,0,81911,1,true,100,1,360|45|-10,,150,turret,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992
10,,2|2|1|1,700,0|6|4|0|0,60,TCH,300,,600,19900,,,true,,1,100,wheeled,STROP 2,2,,3500,4900,10500,14000,,250,60,60,,275,,150,,0.05,MOT|SUP,1,SUP,,,,343.77,19899,,,,,,,,,,,,,87835,0,,110,0,360|75|-10,,60,turret,0,83972,1,true,4,1,360|75|-10,,80,turret,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
10,1250,0.6|0.6|0.6|0.6,90,2|0|0|0|1,80,FR,300,-0.3,3000,20695,,,,,2,1000,plane,JAGUAR A,2,4900,4900,4900,31500,7000,500,150,,60,751,,,,,,AIR|ARM|MEC|MOT|SUP,1,AIR,,,,500,,,,,,,,,,,,,,91714,0,true,60,0,16|8|-5,,,fixed,0,92742,2,true,2,1,80|30|-30,,,fixed,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1973
2,,0.4|0.4|0.4|0.4,,0|8|6|0|0,15,ITA,300,,,19119,,,,,2,22.5,foot,STINGER,3,,3500,4900,8400,14000,,80,80,80,1438,,,,,-0.15,AIR|ARM|MAR|MEC|MOT|SUP,2.5,INF,Regular,,18985|19346|20132|20133|20536|20537|20539,,,,,,,,,,,,,,,83859,0,true,16,0,,,,infantry,0,83860,0,true,16,0,,,,infantry,0,82451,1,,6,1,,,,infantry,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985
10,,3|3|1|1,480,26|18|14|10|8,5,US,300,,360,19353,,,,true,3,65,tracked,M113A3,1,,3500,4900,5600,14000,,20,60,60,289,,,110,,,ARM|MEC|SUP,1,VHC,,19237|19752|19239|18731|19238|20107,,171.89,19352,,,,,,,,,,,,,81464,0,true,200,0,360|45|-10,,150,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987
4,,0.8|0.8|0.8|0.8,575,0|6|4|0|0,50,RFA,300,,570,20346,,,true,,1,240,heli,Bo 105P/BSH,1,4900,3500,5600,5600,14000,,170,60,60,604,,,,,-0.1,AIR|MOT|SUP,1,HEL,,,,,,,50,,,,,,,,,,,89862,0,true,4,0,360|10|-45,,120,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
10,,1|1|1|1,350,0|12|8|0|0,30,NK,300,,500,20199,,,,,2,50,tracked,ZSU-23-4 SHILKA,1,,3500,4900,10500,14000,,120,60,60,,413,,110,,,ARM|MAR|MEC|MOT|SUP,1,SUP,,,20290,171.89,20060,19387,,,,,,,,,,,,89289,0,true,150,0,360|75|-10,,60,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1971
10,,0.8|0.8|0.8|0.8,500,0|6|4|0|0,65,URSS,300,,500,18655,true,,,,2,80,wheeled,9K33 OSA-AKM,1,,3500,4900,10500,14000,,250,60,60,,18,,150,,,MOT|SUP,1,SUP,,,20290,171.89,18654,,,,,,,,,,,,,81370,0,,6,0,360|45|-10,,60,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
10,,3|2|1|1,800,14|11|7|5|4,30,URSS,300,,400,18813,true,,true,true,2,100,wheeled,BTR-90,3,,3500,4900,5600,14000,,20,80,80,,86,,150,,,MAR|MOT,1,VHC,,19875|19874|19876|18651|20100,20290,171.89,18812,,,,,,,,,,,,,81981,1,true,100,0,360|45|-10,,150,turret,1,82055,0,true,68,1,360|25|-10,,80,turret,0,82056,0,true,68,1,360|25|-10,,80,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994
10,,0.4|0.4|0.4|0.4,,32|24|0|0|0,5,RFA,300,,,19087,,,true,,1,22.5,foot,HEIMATSCHÜTZEN,3,,3500,4900,5600,14000,,40,80,80,153,,,,,-0.15,ARM|MEC|MOT|SUP,2,INF,Militia,,19356,,,,,,,,,,,,,,,82547,0,true,60,0,,,,infantry,0,82548,0,true,60,0,,,,infantry,0,82549,1,,6,1,,,,infantry,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975
8,,1|1|0.8|0.8,950,16|12|8|6|4,35,POL,300,,1500,20434,,,,true,3,250,heli,Mi-17,2,4900,3500,5600,5600,14000,,80,60,60,,707,,,,0.05,AIR|MOT,1,HEL,,19623|19058|19808|19216|19871|19576|19620|18967|19212|19539|18966|19577,,,20555,,40,,,,,,,,,,,90336,1,true,120,0,220|10|-75,,120,turret,1,90566,0,true,20,1,20|20|-15,,,fixed,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986
4,,0.8|0.8|0.8|0.8,575,0|8|6|0|0,40,SWE,300,,570,20491,,,,,2,240,heli,PVHKP 9A,1,4900,3500,5600,5600,14000,,80,60,60,652,785,,,,-0.1,AIR|ARM|MEC|MOT,1,HEL,,,,,,,50,,,,,,,,,,,89828,0,true,4,0,90|20|-30,,,fixed,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987
10,,21|7|3|3,650,0|2|0|1|0,165,FR,300,,1700,19269,,,true,,1,75,tracked,LECLERC,3,,3500,4900,5600,14000,,20,80,80,235,,,110,,0.05,ARM,1,TNK,,,,286.48,,,,,,,,,,,,,,84727,0,true,22,0,360|25|-10,,40,turret,0,84728,0,true,22,0,360|25|-10,,40,turret,0,81464,1,true,90,1,360|45|-10,,150,turret,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993
10,,8|3|2|2,600,0|12|8|0|0,60,ITA,300,,1000,19582,,,true,,1,60,tracked,OF-40 Mk.2A,3,,3500,4900,5600,14000,,20,80,80,1463,,,110,,,ARM|MEC|MOT,1,TNK,,,20269,286.48,19583,19584,,,,,,,,,,,,86281,0,true,40,0,360|25|-10,,40,turret,0,86282,0,true,40,0,360|25|-10,,40,turret,0,81464,1,true,90,1,360|45|-10,,150,turret,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993
10,,3|2|1|1,450,0|14|10|0|0,55,US,300,,650,19477,,,true,,1,70,tracked,M8 AGS,3,,3500,4900,5600,14000,,20,80,80,379,,,110,,-0.05,AIR|ARM|MEC|MOT,1,TNK,,,,229.18,19437,,,,,,,,,,,,,85730,0,true,30,0,360|25|-10,,50,turret,0,85731,0,true,30,0,360|25|-10,,50,turret,0,81464,1,true,30,1,360|45|-10,,150,turret,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992
10,,6|4|2|1,550,0|20|16|0|0,25,NK,300,,1200,18957,,,,,2,50,tracked,CH'ONMA-HO,4,,3500,4900,5600,14000,,20,60,60,,130,,110,,,ARM|MEC|MOT|SUP,1,TNK,,,,286.48,,18955,,,,,,,,,,,,82808,0,true,34,0,360|25|-10,,30,turret,0,82809,0,true,34,0,360|25|-10,,30,turret,0,81874,1,true,60,1,360|45|-10,,150,turret,1,81875,1,true,60,1,360|45|-10,,150,turret,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980
10,,1|1|1|0.8,710,0|16|12|0|0,15,SA,300,,330,19030,,,,,2,95,wheeled,FERRET Mk.2 106,2,,3500,4900,5600,14000,,40,60,60,1320,,,150,,-0.05,AIR|ARM|MAR|MEC|MOT|SUP,1,VHC,,,20269,171.89,19766,19744,,,,,,,,,,,,83490,0,,10,0,360|25|-10,,40,turret,0,83491,0,,10,0,360|25|-10,,40,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1976
10,,7|3|2|2,600,0|6|4|0|0,60,FIN,300,,1280,19126,,,true,,1,50,tracked,ITPSV MARKSMAN,1,,3500,4900,10500,14000,,250,60,60,1140,818,true,110,,0.05,ARM|MEC|SUP,1,SUP,,,,171.89,19127,,,,,,,,,,,,,83995,0,true,68,0,360|75|-10,,60,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992
10,,16|7|4|3,550,0|8|6|0|0,100,RFA,300,,1200,19280,,,,,2,70,tracked,LEOPARD 2A1,3,,3500,4900,5600,14000,,20,80,80,244,,,110,,0.05,ARM|MEC,1,TNK,,,,229.18,19279,19281,,,,,,,,,,,,84784,0,true,29,0,360|25|-10,,50,turret,0,84785,0,true,29,0,360|25|-10,,50,turret,0,82834,1,true,260,1,360|45|-10,,150,turret,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1983
4,,0.8|0.8|0.8|0.8,680,0|8|6|0|0,50,FIN,300,,250,20373,,,true,,1,260,heli,HH-10,1,4900,3500,5600,5600,14000,,80,60,60,1163,841,true,,,-0.2,AIR|MOT|SUP,1,HEL,,,,,,,75,,,,,,,,,,,89868,0,true,4,0,90|20|-30,,,fixed,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1994
5,,0.8|0.8|0.8|0.8,400,0|8|6|0|0,30,RDA,300,,100,19252,,,,,2,70,wheeled,LO-1800 FASTA-4,1,,3500,4900,10500,14000,,120,60,60,,167,,150,,,AIR|MOT|SUP,1,SUP,,,20290,171.89,19041,,,,,,,,,,,,,84649,0,,12,0,360|45|-10,,60,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988
10,,12|7|2|2,550,0|12|8|0|0,60,NK,300,,1200,18956,,,true,,1,50,tracked,CH'ONMA-HO IV,5,,3500,4900,5600,14000,,20,80,80,,978,,110,,,ARM|MEC|MOT|SUP,1,TNK,,,,286.48,18955,18954,,,,,,,,,,,,83114,0,true,34,0,360|25|-10,,30,turret,0,83115,0,true,34,0,360|25|-10,,30,turret,0,81874,1,true,60,1,360|45|-10,,150,turret,1,81875,1,true,60,1,360|45|-10,,150,turret,1,83116,2,true,4,2,360|75|-10,,60,turret,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1991
8,,1|1|0.8|0.8,470,0|2|0|1|0,150,US,300,,1000,20316,,,true,,1,280,heli,AH-64D LONGBOW #reco3,3,4900,3500,5600,7000,14000,,170,220,220,845,,,,,,AIR|MOT,1,REC,,,,,,,75,,,,,,,,,,,89964,1,true,160,0,220|10|-75,,120,turret,1,89965,1,true,160,0,220|10|-75,,120,turret,1,89986,0,true,16,1,90|20|-30,,,fixed,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995
10,1250,0.6|0.6|0.6|0.6,135,3|0|0|2|0,135,POL,300,-0.4,4500,20752,,,,,1,900,plane,MiG-29 9-13S,3,4900,3500,4900,31500,4900,,450,,60,,718,,,,,AIR|ARM|MAR|MEC|MOT|SUP,1,AIR,,,,300,,,,,,,,,,,,,,92828,0,true,60,0,16|8|-5,,,fixed,0,92829,2,true,4,1,80|30|-30,,,fixed,2,92830,3,true,2,2,80|30|-30,,,fixed,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1989
10,,2|1|1|1,600,0|4|0|0|0,135,URSS,300,,350,18808,true,true,,,1,80,wheeled,#command BTR-70K,2,,3500,4900,5600,14000,,40,80,80,,81,,150,,,MAR|MOT|SUP,1,LOG,,,20290,171.89,18782,,,,,,,,,,,,,81874,0,true,42,0,360|45|-10,,150,turret,0,81875,0,true,42,0,360|45|-10,,150,turret,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1982
50,,2|2|2|0.8,,6|5|4|0|3,50,URSS,600,,,20284,,,,,2,250,sailing,SHMEL,6,,4900,4900,10500,14000,,40,120,80,,452,,,riverine,,AIR|ARM|MAR|MEC|MOT|SUP,0.9,NAV,,,,,,,,,,,,,,,,,,86518,0,true,75,0,315|75|-10,,30,turret,0,86519,0,true,75,0,315|75|-10,,30,turret,0,89625,1,true,200,1,315|90|-10,180,360,turret,1,89734,2,true,240,2,315|75|,-180,30,turret,-1,89734,4,true,240,3,180|90|-10,-90,360,turret,-1,89740,3,true,96,4,180|90|-10,90,360,turret,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1970
10,,1|1|1|0.8,480,0|4|3|0|0,55,ITA,300,,360,19310,true,,,,2,65,tracked,PORTA-MORTAIO M106A1,3,,3500,4900,5600,14000,,10,40,40,1447,,,110,,,ARM|MAR|MEC|MOT|SUP,1,SUP,,,20269,171.89,19312,,,,,,,,,,,,,84936,0,,54,0,360|75|,,30,turret,0,84937,0,,108,0,360|75|,,30,turret,0,81464,1,true,100,1,360|45|-10,,150,turret,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986
